제조사,모델,매물수,최저(P10),P25,중앙값(P50),P75,최고(P90),중앙주행km,중앙연식,평균잔존율
재규어,F-TYPE,14,2626,2822,4250,5517,6493,67804,2017,36.8
도요타,프리우스 4세대,14,1150,1260,1430,1850,2331,125368,2018,50.4
KG모빌리티(쌍용),무쏘 스포츠 (Q250),14,2771,2860,3070,3242,3400,5862,2025,89.4
벤츠,V-클래스,14,4773,5825,8150,17400,17470,32875,2022,
링컨,뉴 MKS,14,330,399,429,485,535,124882,2014,7.9
링컨,MKX 2세대,14,670,990,1194,1386,1549,118603,2017,20.3
현대,아반떼 하이브리드,14,343,356,389,434,479,125496,2010,16.8
볼보,XC60,14,829,892,1160,1365,1463,141336,2015,19.5
렉서스,IS250,14,492,556,599,672,906,147435,2008,12.7
혼다,어코드 11세대,13,3534,3590,3850,4000,4318,10309,2024,77.2
미니,쿠퍼 C 4세대,13,2804,2940,2950,3150,3348,4220,2025,74.6
마세라티,그레칼레,13,6510,6650,7050,7700,8129,18676,2023,58.2
푸조,3008,13,302,359,399,450,489,144961,2014,
르노코리아(삼성),뉴SM5,13,133,160,199,200,230,166885,2007,8.7
기타 제조사,기타,13,304,325,415,550,706,8174,2021,
푸조,508,13,333,390,520,560,684,153780,2015,11.4
롤스로이스,레이스,13,15197,18500,25900,29000,36400,29600,2017,57.0
BMW,i3,13,726,1050,2130,2590,2852,47000,2018,30.3
포드,몬데오 4세대,13,410,530,579,1290,1716,151761,2016,21.3
포드,레인저 4세대,13,4470,4702,5599,6360,6871,35125,2023,76.5
벤츠,SL-클래스 R232,13,14016,14480,16749,18500,19410,5369,2024,78.1
현대,i30 cw,13,324,349,350,380,422,101000,2009,22.9
KG모빌리티(쌍용),무쏘 EV (O100),13,3910,3999,4150,4370,4494,21500,2026,80.1
렉서스,CT200h,13,1199,1449,1550,1740,2154,115670,2017,39.1
BMW,iX,13,7100,7750,8120,9390,11043,26568,2023,63.2
볼보,V40,13,558,790,900,1050,1338,106925,2016,24.9
렉서스,LS500h 5세대,13,4098,5000,5900,8900,10360,70362,2019,42.0
볼보,XC70,13,559,890,1050,1360,1759,197892,2014,17.8
캐딜락,ATS,13,650,740,890,1350,1630,92318,2017,20.6
BMW,M5 (G90),13,17820,17900,18500,19900,21759,5370,2026,108.1
도요타,크라운 크로스오버,13,4430,4690,4900,5350,5350,22225,2024,83.6
도요타,시에나,13,1294,1390,1555,1990,2410,144117,2017,30.8
쉐보레(GM대우),뉴 다마스,12,434,485,565,620,770,82222,2017,57.8
아우디,Q2,12,2727,2872,3295,3675,3786,33930,2023,73.9
기아,K3 쿱,12,422,449,490,525,538,125989,2014,23.9
렉서스,LS460,12,521,817,1869,2590,2770,104770,2012,14.2
랜드로버,레인지로버,12,1191,1267,1794,2100,2430,166765,2010,11.3
랜드로버,레인지로버 스포츠,12,680,847,1035,1175,1514,165628,2010,9.3
캐딜락,CTS 2세대,12,246,340,419,1035,1086,147625,2011,12.1
벤틀리,플라잉스퍼 2세대,12,3540,4072,5045,5437,6255,101945,2016,19.1
인피니티,G25,12,257,342,382,460,571,137366,2012,9.2
인피니티,M37,12,349,350,405,587,628,161600,2011,7.2
닛산,큐브,12,414,482,594,650,740,111962,2012,23.6
기아,프라이드,12,290,290,374,460,580,182081,1996,77.0
기아,뉴오피러스,12,201,242,260,299,345,94625,2008,7.3
인피니티,QX50 (P71A),11,1690,1690,1760,1940,2050,93820,2019,33.6
BMW,1시리즈 (F70),11,3900,3950,3990,4725,5630,5103,2025,77.2
기아,프라이드(신형),11,200,264,320,365,450,96832,2010,26.5
캐딜락,CTS 3세대,11,790,870,970,1265,1570,115431,2017,17.6
캐딜락,XT6,11,3690,4020,4590,5169,5277,60418,2022,53.9
기아,로체 이노베이션,11,199,299,310,345,380,127833,2010,13.9
현대,투싼,11,250,290,299,335,380,120787,2008,15.3
포드,퓨전,11,380,435,490,499,730,96422,2013,13.1
현대,NF 쏘나타,11,200,232,250,275,295,149301,2007,11.3
크라이슬러,200 2세대,11,390,424,480,499,599,109908,2015,13.6
BMW,X6M (G06),11,8690,9500,10550,14710,15000,39191,2023,63.6
도요타,프리우스 5세대,11,3230,3455,3550,3800,4100,11661,2024,79.5
도요타,RAV4,11,1600,1774,2070,2170,2299,82489,2017,51.3
현대,투스카니(신형),11,390,395,430,495,530,127049,2007,27.4
현대,갤로퍼,11,670,724,1100,2125,2900,178000,1995,57.6
BMW,Z4 (E89),11,2250,2260,2450,2660,2900,103112,2014,27.9
롤스로이스,팬텀,10,16900,25500,41950,49425,73690,30000,2017,60.7
폭스바겐,시로코,10,644,787,1070,1290,1490,152001,2013,23.1
르노코리아(삼성),조에,10,1046,1170,1310,1492,1563,68523,2021,30.5
볼보,V60 크로스컨트리,10,843,1045,1285,1455,1516,111093,2016,22.6
BMW,X6M (F16),10,3179,3305,3600,3896,4226,99512,2017,22.3
닛산,맥시마 (A36),10,768,820,875,937,1213,130399,2017,22.2
BMW,i8,10,5411,5946,7425,7535,8090,57196,2016,34.1
렉서스,NX450h+ 2세대,10,4433,5290,5895,6190,6435,24460,2025,75.0
페라리,F8 스파이더,10,32750,36050,38250,40674,49010,9025,2021,98.8
쉐보레(GM대우),볼트 EUV,10,2224,2300,2395,2542,2691,53693,2023,49.9
벤틀리,컨티넨탈 GT 1세대,10,2070,2417,2702,2900,3513,76262,2007,9.8
벤츠,뉴 SL-클래스,10,1690,4275,5250,5625,6770,84703,2013,33.0
벤츠,S-클래스,10,634,884,1570,2150,2455,186335,1998,15.9
혼다,시빅,10,551,755,885,1645,2829,81450,2013,35.9
벤츠,EQC N293,10,3214,3450,3655,3936,4025,60700,2020,37.9
벤츠,C-클래스,10,642,711,994,1267,1925,154040,2001,22.3
폭스바겐,뉴 비틀,10,275,335,389,494,659,118380,2007,12.6
BMW,XM (G09),10,12926,13025,13670,15350,16900,28133,2023,61.0
페라리,SF90 스파이더,10,55949,57000,57949,58000,73900,3300,2023,
혼다,New CR-V,9,1070,1270,1370,1450,1573,118041,2015,36.3
인피니티,G37,9,443,539,950,1250,1300,116000,2009,13.2
폭스바겐,티록,9,1979,2090,2190,2280,2394,63155,2021,56.9
BMW,7시리즈,9,436,590,850,1050,1652,211053,1999,7.3
BMW,2시리즈 (G42),9,5202,5399,5450,5600,5619,27340,2023,72.5
BMW,7시리즈 (E65),9,390,460,750,1300,2250,146282,2007,7.6
BMW,1시리즈 (E82),9,354,498,699,790,906,195301,2011,13.1
렉서스,RX350h 5세대,9,7090,7290,7500,8500,8817,33621,2024,80.3
BMW,X5M (G05),9,8676,9250,9850,11499,17760,55368,2023,63.0
벤츠,B-클래스 W245,9,282,350,390,459,484,140135,2011,10.3
KG모빌리티(쌍용),뉴체어맨,9,250,290,300,420,566,96064,2007,8.2
푸조,508 2세대,9,1248,1390,1499,1660,1856,89644,2020,34.7
KG모빌리티(쌍용),체어맨 H 뉴 클래식,9,275,290,320,430,449,142161,2013,8.6
렉서스,LS500 5세대,9,3538,3900,5640,7499,8268,54000,2020,43.3
랜드로버,프리랜더2,9,482,550,670,730,754,166381,2011,11.1
BMW,M3 (E90),9,2599,2800,3150,4100,4680,145000,2013,36.4
BMW,3시리즈,9,439,580,1250,1850,3632,160000,2001,15.5
BMW,M3 (G80),9,8390,11300,12990,14550,15297,10684,2025,92.6
현대,뉴 그랜저 XG,9,270,333,350,390,536,143958,2004,15.7
크라이슬러,더 뉴 300C,9,532,690,730,780,806,140226,2014,12.6
페라리,296 GTB,9,32600,34000,35000,36500,37540,4445,2023,88.6
쉐보레(GM대우),스파크,9,191,239,270,319,321,134545,2013,21.9
미니,쿠퍼 일렉트릭,8,2334,2462,2595,2717,2770,35085,2023,51.4
아우디,RS3 (8Y),8,5456,7047,7595,8047,8395,8476,2025,89.9
BMW,X3M (G01),8,4747,5492,6650,6922,7548,36333,2021,55.6
르노코리아(삼성),SM7,8,213,227,240,260,742,137224,2007,13.5
아우디,R8 (4S),8,9354,10224,12000,17247,18293,46500,2017,46.6
아우디,R8,8,4594,4887,5999,6754,8899,76679,2012,29.6
미니,쿠퍼 S 컨버터블 4세대,8,3956,3994,4375,4550,4753,6500,2025,80.5
벤츠,SL-클래스,8,1158,1785,2125,2546,4492,145190,2004,9.1
현대,더 뉴 아이오닉 일렉트릭,8,1378,1465,1600,1912,1995,106023,2020,37.0
쉐보레,서버밴,8,1235,1280,1600,3102,6620,169151,2012,
푸조,408,8,2850,2880,3100,3425,3830,29373,2024,70.6
폭스바겐,폴로,8,605,674,709,830,964,69236,2014,28.4
페라리,푸로산게,8,71850,74250,76250,80875,85450,730,2025,126.9
지프,랭글러 (TJ),8,1564,1767,1920,2085,2475,164926,2003,63.4
캐딜락,CT4,8,2033,2205,2310,2457,2515,56261,2020,46.1
페라리,296 GTS,8,43000,43750,47000,52225,54730,3826,2024,
벤틀리,플라잉스퍼 1세대,8,1649,1842,2624,2912,3100,104509,2010,8.5
기아,쏘울 부스터 EV,7,1505,1578,1830,1870,2050,107829,2019,35.5
현대,그랜저,7,582,710,890,1045,1520,200000,1990,
도요타,프리우스 C,7,1113,1195,1260,1300,1398,76019,2018,49.9
재규어,XJ-8,7,979,1224,1599,2190,2600,135831,2004,11.7
BMW,M5 (F90),7,4975,5849,8000,8774,9750,91529,2020,49.3
BMW,5시리즈,7,677,965,1400,1525,3200,190238,1999,11.2
도요타,FJ 크루져,7,2889,3370,4350,4480,4620,99700,2012,79.5
볼보,V40 크로스컨트리,7,690,725,760,1254,1371,141206,2018,24.0
페라리,포르토피노,7,18578,19365,21000,25250,32100,22034,2020,69.3
포드,F350,7,1910,2370,5390,6695,9614,55830,2015,
링컨,노틸러스 2세대,7,4942,5050,5180,5257,5335,32687,2024,66.6
마세라티,그란투리스모,7,2599,2899,3990,5574,7190,71033,2013,25.6
사브,9-3 2세대,7,450,505,900,1339,1499,167886,2008,15.5
푸조,208,7,450,455,480,675,722,72250,2016,20.9
푸조,2008 2세대,7,1556,1715,1800,1995,2128,48008,2021,50.9
폭스바겐,티구안,7,389,390,490,565,588,135648,2011,11.2
KG모빌리티(쌍용),액티언 스포츠,7,246,262,340,399,400,124734,2011,14.9
벤츠,E-클래스 W210,7,450,525,680,695,739,148000,2001,9.6
미니,쿠퍼 S 쿠페,7,560,625,880,1844,2439,107909,2012,28.2
미니,쿠퍼 SD,7,423,465,500,619,729,146663,2012,13.3
닷지,챌린저,7,5090,5639,7550,8800,10620,53000,2019,
벤틀리,컨티넨탈 GT 4세대,7,41000,41000,43000,45000,46600,3402,2025,112.6
혼다,CR-V,7,388,460,540,670,714,142866,2007,16.3
