제조사,모델,매물수,최저(P10),P25,중앙값(P50),P75,최고(P90),중앙주행km,중앙연식,평균잔존율
현대,아반떼 XD,3,256,291,349,424,469,79052,2002,37.4
닷지,캘리버,3,304,310,320,335,344,122861,2007,11.8
닷지,그랜드 캐러밴,3,834,870,930,1295,1514,157675,2014,
닛산,알티마 (L34),3,1434,1455,1490,1539,1569,76595,2019,43.5
혼다,크로스투어,3,990,1005,1030,1090,1126,90342,2013,22.5
혼다,레전드 5세대,3,1086,1110,1150,1300,1390,160916,2016,19.0
인피니티,M56,3,970,1000,1050,1120,1162,180474,2011,12.6
인피니티,FX35,3,712,745,800,845,872,137952,2009,10.9
현대,포니투,3,815,884,999,1749,2199,178118,1987,
현대,트라제 XG,3,274,280,290,355,394,115557,2007,16.3
벤츠,CL-클래스 C216,3,1187,1484,1979,3089,3755,190000,2008,15.0
미니,쿠퍼 쿠페,3,416,455,520,579,615,151348,2012,13.9
볼보,S40,3,198,210,230,235,238,160997,2008,5.7
기아,더 뉴 K3 쿱,3,608,620,640,809,911,114513,2017,32.6
미니,쿠퍼 SD 쿠페,3,622,670,750,755,758,134675,2013,15.5
닛산,370Z,3,2031,2454,3159,3179,3191,77900,2016,51.4
KG모빌리티(쌍용),뉴무쏘,3,1084,1240,1500,1500,1500,75000,2004,42.6
링컨,MKS,3,242,260,290,420,498,136497,2010,6.3
링컨,MKT,3,974,980,990,1070,1118,99962,2014,
푸조,207GT,3,329,374,450,455,458,58915,2008,13.1
푸조,308 3세대,3,1918,2020,2190,2420,2558,69092,2022,52.1
쉐보레,아발란치,3,1280,1475,1800,2090,2264,165000,2007,
페라리,458,3,21900,22500,23500,44400,56940,38939,2013,53.6
페라리,812 슈퍼패스트,3,33640,34150,35000,36100,36760,27000,2019,
렉서스,뉴 IS200t,3,2094,2160,2270,2335,2374,76400,2017,41.9
렉서스,뉴 GS450h,3,2870,2975,3150,3670,3982,106341,2017,39.8
캐딜락,XT4,3,3598,3670,3790,4044,4197,15982,2023,66.1
기아,캐피탈,3,594,660,770,1135,1354,161231,1994,
KG모빌리티(쌍용),뉴코란도,3,429,474,550,570,582,248540,2005,27.4
푸조,e-2008 2세대,3,1966,1990,2030,2190,2286,65510,2021,41.1
푸조,e-208 2세대,3,2230,2245,2270,2325,2358,11762,2023,43.2
렉서스,LS430,3,642,720,850,1050,1170,183062,2005,8.0
렉서스,뉴 IS250,3,1410,1440,1490,1525,1546,116642,2014,29.9
아우디,S7 (4K),3,5598,5820,6190,7090,7630,62606,2021,54.8
BMW,X6M (E71),3,1335,1389,1480,1820,2024,160984,2010,10.2
BMW,Z3,3,1260,1650,2300,2390,2444,190000,2000,35.5
재규어,다임러,3,1582,1720,1950,2360,2606,218320,2002,14.2
아우디,S6 (C8),3,5312,5420,5600,6290,6704,51505,2021,53.5
아우디,Q6 e-트론 (GF),3,6548,7055,7900,8250,8460,17896,2025,76.4
렉서스,LS460L,3,542,620,750,1050,1230,147750,2009,5.9
도요타,프리우스 프라임,3,1790,1820,1870,2000,2078,119994,2017,40.0
람보르기니,아벤타도르,3,52000,58000,68000,70500,72000,11548,2021,101.1
현대,스타렉스 점보,3,244,265,300,335,356,146000,2005,
도요타,프리우스,3,690,780,930,1070,1154,81370,2012,27.3
현대,베르나(신형),3,199,199,199,274,319,105837,2008,18.0
렉서스,GS300,3,282,285,290,320,338,225388,2006,4.3
현대,쏘나타 II,3,263,269,279,299,311,112052,1995,23.0
인피니티,QX50,3,883,889,899,959,995,122329,2016,17.9
아우디,RS6 (C8),3,15459,16149,17300,17400,17460,4175,2025,92.9
인피니티,Q60 (CV37),3,2375,2414,2480,2625,2712,106848,2018,36.5
인피니티,QX30,3,1242,1320,1450,1550,1610,83163,2019,31.6
BMW,X5M (F15),3,3258,3345,3490,3895,4138,117479,2015,23.2
도요타,캠리,3,709,724,749,759,765,97855,2011,19.6
BMW,M6 (F12),3,2718,3270,4190,4444,4597,111779,2016,19.6
BMW,M8 (G15),3,9510,11295,14270,15085,15574,26000,2024,52.1
현대,투스카니,3,299,374,500,575,620,153027,2006,27.5
