매물ID,제조사,모델,등급,연식,주행km,연료,차체,시도,판매가,잔존율
41457037,현대,그랜저 (GN7),2.5 가솔린 2WD,2024.0,44078.0,가솔린,대형차,서울,3190.0,85.2
39468491,현대,쏘나타 (DN8),1.6 터보,2020.0,81191.0,가솔린,중형차,서울,1700.0,64.5
41406457,현대,더 뉴 아반떼 (CN7),1.6,2026.0,2750.0,가솔린,준중형차,서울,1420.0,60.3
39273349,현대,팰리세이드 (LX3),가솔린 2.5T 2WD 9인승,2025.0,400.0,가솔린,SUV,서울,4004.0,81.1
41038424,현대,싼타페 (MX5),HEV 1.6 2WD,2025.0,700.0,가솔린+전기,SUV,서울,3100.0,64.5
39966910,현대,더 뉴 그랜저 IG,2.5,2021.0,51659.0,가솔린,대형차,서울,2399.0,72.8
40667182,현대,아반떼 (CN7),2.0 N,2022.0,40013.0,가솔린,준중형차,서울,2400.0,74.7
40928686,현대,싼타페 더 프라임,디젤 2.0 2WD,2016.0,78195.0,디젤,SUV,서울,1599.0,48.2
41461683,현대,LF 쏘나타,2.0 스마트,2015.0,64206.0,가솔린,중형차,서울,1090.0,42.8
40939282,현대,에쿠스(신형),VS380,2012.0,271167.0,가솔린,대형차,서울,449.0,4.2
41772164,현대,쏘나타 디 엣지(DN8),1.6 터보,2025.0,705.0,가솔린,중형차,서울,3280.0,92.4
41374315,현대,팰리세이드,디젤 2.2 2WD,2019.0,66752.0,디젤,SUV,서울,2799.0,67.0
41265567,현대,팰리세이드 (LX3),HEV 2.5T 4WD 7인승,2026.0,16207.0,가솔린+전기,SUV,서울,6300.0,95.9
41621501,현대,팰리세이드,디젤 2.2 4WD,2022.0,77875.0,디젤,SUV,서울,3630.0,72.5
41703968,현대,코나 (SX2),가솔린 1.6 터보 4WD,2024.0,48923.0,가솔린,SUV,서울,2690.0,81.0
41595846,현대,싼타페 CM,2WD(2.0VGT) MLX,2009.0,133000.0,디젤,SUV,서울,360.0,13.2
41766576,현대,쏘나타 디 엣지(DN8),1.6 터보,2024.0,30806.0,가솔린,중형차,서울,3099.0,85.5
41790167,현대,더 뉴 그랜저 IG,2.5,2022.0,35126.0,가솔린,대형차,서울,2900.0,70.2
41736928,현대,싼타페 DM,디젤(e-VGT) 2.0 2WD 익스클루시브,2015.0,59584.0,디젤,SUV,서울,1425.0,42.9
40847120,현대,더 뉴 아반떼,1.6 GDi 모던,2014.0,68489.0,가솔린,준중형차,서울,690.0,36.5
41717090,현대,스타리아,4WD 라운지 9인승,2023.0,102008.0,디젤,승합차,서울,3320.0,76.9
41489142,현대,그랜드 스타렉스,5인승 밴,2017.0,144293.0,디젤,승합차,서울,880.0,40.8
41690617,현대,LF 쏘나타,2.0 스마트,2016.0,87853.0,가솔린,중형차,서울,1120.0,44.0
40714904,현대,싼타페 (MX5),HEV 1.6 2WD,2025.0,2100.0,가솔린+전기,SUV,서울,2556.0,61.1
41507326,현대,그랜드 스타렉스,5인승 밴,2018.0,33058.0,디젤,승합차,서울,1590.0,73.8
41409015,현대,쏘나타 디 엣지(DN8),2.0 LPG(렌터카),2024.0,40119.0,LPG(일반인 구입),중형차,서울,2250.0,88.4
41584397,현대,더 뉴 팰리세이드,가솔린 3.8 4WD,2023.0,72033.0,가솔린,SUV,서울,2820.0,68.7
41711143,현대,코나 하이브리드,모던 스페셜,2020.0,61867.0,가솔린+전기,SUV,서울,1900.0,72.8
41815868,현대,그랜드 스타렉스,5인승 밴,2016.0,127782.0,디젤,승합차,서울,880.0,40.1
41673598,현대,올 뉴 투싼,가솔린 1.6 터보 2WD,2019.0,65695.0,가솔린,SUV,서울,1720.0,73.2
41690455,현대,싼타페 TM,가솔린 2.0T 2WD,2020.0,54169.0,가솔린,SUV,서울,2450.0,68.2
41721379,현대,더 뉴 그랜드 스타렉스,어반 9인승,2019.0,36180.0,디젤,승합차,서울,2330.0,77.3
41654700,현대,팰리세이드,디젤 2.2 2WD,2022.0,113500.0,디젤,SUV,서울,2950.0,61.8
41380151,현대,아반떼 HD,1.6 VVT S16,2009.0,69008.0,가솔린,준중형차,서울,330.0,23.7
41442433,현대,그랜저 HG,HG240 모던,2015.0,108668.0,가솔린,대형차,서울,560.0,18.5
41774930,현대,그랜저 (GN7),2.5 가솔린 2WD,2024.0,2209.0,가솔린,대형차,서울,3780.0,89.3
41576357,현대,투싼 (NX4),디젤 2.0 4WD,2023.0,43845.0,디젤,SUV,서울,2980.0,80.5
41397083,현대,스타리아,라운지 9인승,2022.0,78950.0,디젤,승합차,서울,4200.0,71.6
41814683,현대,더 뉴 투싼 (NX4),가솔린 1.6 터보 2WD,2026.0,1.0,가솔린,SUV,서울,468.0,14.8
41680908,현대,더 뉴 그랜저 IG,3.3,2020.0,62058.0,가솔린,대형차,서울,2250.0,62.9
41793434,현대,그랜저 HG,HG300 익스클루시브,2013.0,132580.0,가솔린,대형차,서울,490.0,14.1
41358952,현대,올 뉴 투싼,디젤 1.7 2WD,2016.0,63878.0,디젤,SUV,서울,1290.0,50.6
41448920,현대,더 뉴 그랜저 IG,3.3,2022.0,86336.0,가솔린,대형차,서울,2609.0,66.4
40637895,현대,그랜저 HG,HG240 럭셔리,2012.0,241163.0,가솔린,대형차,서울,330.0,10.8
41560897,현대,쏘나타 뉴 라이즈,2.0 모던,2019.0,43465.0,가솔린,중형차,서울,1450.0,53.1
40728840,현대,제네시스,BH330 럭셔리,2012.0,172204.0,가솔린,대형차,서울,530.0,10.7
40567178,현대,쏠라티,15인승,2017.0,85586.0,디젤,승합차,서울,3550.0,
41532908,현대,아반떼 AD,1.6 e-VGT 스마트,2018.0,100804.0,디젤,준중형차,서울,770.0,38.1
41429655,현대,싼타페 TM,디젤 2.0 2WD,2020.0,114469.0,디젤,SUV,서울,1830.0,57.0
41507053,현대,싼타페 DM,디젤(e-VGT) 2.0 2WD 익스클루시브,2015.0,104188.0,디젤,SUV,서울,910.0,27.4
41460415,현대,YF 쏘나타,Y20 프리미어,2011.0,105846.0,가솔린,중형차,서울,380.0,14.9
41097395,현대,YF 쏘나타,F20 터보 GDI,2012.0,131050.0,가솔린,중형차,서울,449.0,15.2
41658603,현대,베뉴,1.6 프리미엄,2026.0,6.0,가솔린,SUV,서울,624.0,28.2
40975070,현대,LF 쏘나타 하이브리드,2.0 HEV,2016.0,111905.0,가솔린+전기,중형차,서울,1000.0,30.5
41285524,현대,팰리세이드,디젤 2.2 2WD,2022.0,113129.0,디젤,SUV,서울,2430.0,64.7
41533755,현대,더 뉴 싼타페,디젤 2.2 2WD,2021.0,106035.0,디젤,SUV,서울,2190.0,68.3
41750004,현대,싼타페 (MX5),HEV 1.6 2WD,2024.0,47940.0,가솔린+전기,SUV,서울,3870.0,81.2
41658861,현대,베뉴,1.6 프리미엄,2026.0,7.0,가솔린,SUV,서울,624.0,28.2
41638862,현대,팰리세이드,디젤 2.2 2WD,2020.0,89036.0,디젤,SUV,서울,2680.0,65.2
41776995,현대,캐스퍼,모던,2022.0,130605.0,가솔린,경차,서울,939.0,59.1
41605803,현대,그랜저 HG,HG240 모던,2014.0,77185.0,가솔린,대형차,서울,699.0,23.5
41449734,현대,벨로스터,터보 GDi 익스트림,2013.0,51301.0,가솔린,준중형차,서울,750.0,34.2
41373048,현대,투싼 (NX4),가솔린 1.6 터보 2WD,2023.0,44429.0,가솔린,SUV,서울,2550.0,88.8
41528209,현대,더 뉴 그랜저 IG 하이브리드,익스클루시브,2020.0,76478.0,가솔린+전기,대형차,서울,2620.0,61.9
41628793,현대,쏘나타 디 엣지 하이브리드(DN8),인스퍼레이션,2024.0,16850.0,가솔린+전기,중형차,서울,3290.0,83.9
